Feature,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub
P0,-4.22956772567217,-4.22447971855904,0.12800880311203,0.131606954087199,-4.08925137306428,-4.08437923003516,0.122577894228892,0.12602338984272,-4.58119704923239,-4.57687552793751,0.108724841825293,0.111780947234672,-4.29718096776475,-4.29205241573403,0.129028869762632,0.132655693405027
r,1.45917310148199,1.46551792143713,0.159628866540589,0.164115813905494,1.59463239638414,1.60302846674935,0.211236127308441,0.217173683624789,1.55498996669277,1.56304176363963,0.202574577266145,0.208268669352115,1.54596351267943,1.55398018368758,0.201690846313595,0.207360097940852
TimeMax,0.980135799292872,0.984182958936097,0.101822196866811,0.104684278442792,0.998758647045394,1.0047846535433,0.151607861819145,0.15586934979955,1.05685330412776,1.06297712374532,0.154068735025117,0.15839939475864,1.06220017446496,1.06839934219183,0.155964412659791,0.160348357278134
K,1.95697323388499,1.96314076368776,0.155168436414648,0.159530007238119,1.94067098973891,1.94545966416153,0.120477913592382,0.123864381645673,1.47844006911659,1.48253665885575,0.103065805076709,0.10596284276496,1.82434276721253,1.82892559958133,0.115299148241963,0.118540048340997
maxViral,1.94458810079513,1.950597636309,0.15119346952269,0.155443309506947,1.93841577858371,1.94344360684064,0.126494767619751,0.130050361144569,1.47657038568314,1.48064933993018,0.102622115005447,0.105506681177491,1.82215723896751,1.82671507566744,0.114670284015873,0.117893507608501
cumViral,2.9241317213247,2.92890512847883,0.12009380548822,0.123469476792256,3.48002632044519,3.48399155737936,0.099761109352593,0.102565256600083,3.09074751946953,3.0944552364341,0.093282183055368,0.095904216616863,3.44703105651788,3.45076826138489,0.094024067060777,0.096666953958861
I0,0.350101252964079,0.356239693242541,0.154436575175662,0.158777574388691,0.628964667861432,0.634690794882555,0.144063215743254,0.148112634123949,0.210269006231474,0.215354195115394,0.127937899487197,0.131534057459225,0.630160958521296,0.635786712744961,0.14153794378863,0.145516380256166
k,-1.4071000833342,-1.40069553083725,0.161131673241394,0.165660862430803,-2.26426761690859,-2.24630218518514,0.451990997885388,0.464695841695121,-1.59322538923029,-1.58912057806543,0.103272647331671,0.106175499070544,-2.16490290479781,-2.15510767165103,0.246437562574825,0.253364582705784
b,-0.636624032622429,-0.631829645324416,0.120621643411383,0.124012151511731,-1.2135116062596,-1.20949307490119,0.101101939918935,0.103943776065098,-0.780082951312775,-0.776330711182046,0.094402338173718,0.09705585775128,-1.17317746078717,-1.16936970329747,0.095799095394438,0.098491875891824
delta,1.05575499359855,1.05793085538307,0.054742349328555,0.056281081297225,0.847478238918228,0.853144421651757,0.142555081745461,0.146562108558679,0.794954005942653,0.800572448656339,0.141353994037669,0.145327259931309,0.719551336631341,0.72532191959749,0.145181679650109,0.149262536509247
P0,-4.22839981214151,-4.22331811187247,0.127850129677462,0.131443820561142,-4.08859938238937,-4.08371800269058,0.122810278933284,0.126262306560774,-4.57894645627958,-4.57457354278212,0.110017814534485,0.113110263624153,-4.29897896900302,-4.29384755459383,0.129100884135459,0.132729732002592
r,1.48498196680293,1.49238658452176,0.186292241857009,0.191528659942394,1.59716305762798,1.60533470622622,0.205589916298287,0.211368765407331,1.56537049067862,1.57350893739846,0.204754592639979,0.210509961952613,1.52737661359748,1.53535304756322,0.200678525472681,0.206319322156743
TimeMax,0.954316321220797,0.959026018283475,0.118490927903439,0.121821544528386,0.989622018639779,0.995419841628068,0.14586700939777,0.14996712993128,1.03219882190064,1.03818633360057,0.150639373980076,0.154873639102538,1.06958061262891,1.07564382040584,0.15254380610857,0.156831602192604
K,1.96217292173143,1.96968570563799,0.189013587154085,0.194326498503968,1.94103722283479,1.9458691204641,0.12156536312456,0.124982397884979,1.47949250865753,1.48357834496164,0.102795260181775,0.105684693226018,1.82972022118392,1.83440362655253,0.1178294570733,0.121141480665153
maxViral,1.94830520819335,1.95555026467786,0.182277852298894,0.187401431428268,1.93820700409809,1.94300708163504,0.120764803721414,0.124159335860708,1.47699580959027,1.4810579767344,0.10219976949716,0.105072464119236,1.82742495042102,1.83237498176921,0.124537480817299,0.128038057708528
cumViral,2.94518144414068,2.9500187727251,0.12170200013162,0.125122875569932,3.47385400113582,3.47785620714227,0.100691211569078,0.103521502707581,3.10549969261811,3.10927222460548,0.094912859527848,0.097580729156841,3.43502972771056,3.43886082137063,0.096386208417535,0.099095491852573
I0,0.800424099309687,0.806341307446786,0.1488706117255,0.153055159379503,0.882697042771568,0.888408377878807,0.143691067051226,0.147730024845254,0.945930806086061,0.951574090080323,0.141978974019729,0.145969807239031,0.811366997159974,0.816964324020518,0.140822741815073,0.144781074941151
k,-1.59324531865664,-1.58545356805328,0.196032090110632,0.201542281902511,-2.06347621133109,-2.05513943686327,0.209744306113021,0.215639929392276,-2.1709406174024,-2.16233899478208,0.216407601633964,0.22249052096391,-2.00583577530017,-1.99854684045494,0.183381784803694,0.188536393953834
b,-0.704616463351697,-0.699747448808455,0.122499184878806,0.125942468081316,-1.23410913816123,-1.23004391797637,0.102276580727962,0.10515143440784,-0.869791277188735,-0.865950194230623,0.096637528444789,0.099353876139308,-1.18026451142163,-1.17635778370901,0.098289080077518,0.101051850611509
delta,1.04934504652828,1.05179868437332,0.061730897152909,0.063466067566106,0.844701184033284,0.85018182917815,0.137887154966054,0.141762972792975,0.770899648162372,0.776629123664455,0.144147459933615,0.148199246302357,0.708838146405669,0.714472435861902,0.14175268108774,0.145737153524705
