Feature,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub
P0,-4.10743195412006,-4.10174808510529,0.143000049616515,0.147019583863129,-4.09373329793603,-4.08833799024252,0.135740156196794,0.139555624848287,-4.20965193786848,-4.20458929345017,0.127370704906797,0.130950919821136,-4.22112587169621,-4.21577878315672,0.134527013987083,0.138308382883569
r,1.54950746958379,1.55712631468514,0.191681973086113,0.197069889085754,1.33106100737189,1.33540640322302,0.109325500060064,0.11239848914432,1.27036637782399,1.27381099887624,0.086662972018046,0.089098948682908,1.50676092786002,1.51476590414952,0.201396619732571,0.207057601056272
TimeMax,1.04159939852833,1.04730719412767,0.143602016827804,0.147638471542821,1.06165780536184,1.06446078500383,0.07051996216618,0.07250218107979,1.10227035105187,1.1044811299938,0.055620827567674,0.057184252348525,1.05504945421946,1.06085126517925,0.145967342484527,0.15007028324278
K,2.08369351385783,2.08861378288052,0.123788692621617,0.127268222108989,2.29751280728677,2.3023687235039,0.122169645038981,0.125603665330917,2.29194959149482,2.29722072112573,0.132615969297654,0.136343621362597,1.96887630610386,1.97394030492468,0.127404780221867,0.130985952946334
maxViral,2.08095715316433,2.08584491848671,0.122970934375481,0.126427477805962,2.2763124703882,2.28101429871517,0.118292958950645,0.12161801094126,2.26413341621012,2.26921198276839,0.127771288875066,0.131362763652485,1.96478887446487,1.96980684849938,0.126246845950233,0.12979547073872
CumViral,3.56520007637977,3.56960900702448,0.110923967338436,0.114041887134149,3.14593450380017,3.14995834376204,0.101235498689524,0.104081088988596,3.09401525491758,3.0979861677849,0.09990390974431,0.102712070913938,3.46276788773595,3.4667031241177,0.099006327623217,0.101789258996879
I0,0.249083861685584,0.254489046475439,0.135988653349896,0.139811106913771,0.47539293943329,0.481324479461985,0.149231186750018,0.153425869670851,0.653918822909216,0.659889506792142,0.150216004148621,0.154438368928803,1.08725909789437,1.09303855741706,0.145405004294528,0.149492138501533
k,-1.68984713878327,-1.68420352477909,0.141987276715319,0.145978343311948,-1.62473438501453,-1.61644494061301,0.208553532396913,0.214415684668677,-1.4666203356261,-1.46052234204696,0.15341897959146,0.157731375595533,-2.28699789366237,-2.27791523714504,0.22850989867162,0.23493299688637
b,-1.26987795877259,-1.2654265130741,0.111993600502449,0.115141586211744,-0.872708793522638,-0.868630335596612,0.102609628101072,0.105493843283449,-0.840510150965182,-0.836485526548604,0.101255234728856,0.104101379780785,-1.25073855592204,-1.24673707769104,0.100672901519278,0.103502677987524
b,-1.26987795877259,-1.2654265130741,0.111993600502449,0.115141586211744,-0.872708793522638,-0.868630335596612,0.102609628101072,0.105493843283449,-0.840510150965182,-0.836485526548604,0.101255234728856,0.104101379780785,-1.25073855592204,-1.24673707769104,0.100672901519278,0.103502677987524
P0,-4.09999096946566,-4.09424119491645,0.144658162192635,0.148724303697795,-4.09769560013661,-4.09233776347534,0.134797425206088,0.138586394989136,-4.21009865227007,-4.20510504181544,0.125633884405615,0.129165279690147,-4.22445028577812,-4.21915473641954,0.133230343460673,0.136975264736327
r,1.36772445714574,1.3731525511175,0.136565023801184,0.140403678343827,1.36359326858181,1.36976496294892,0.15527321238783,0.159637728319457,1.3003996130201,1.30591678637743,0.138806165622597,0.142707815572073,1.49723220552577,1.50527256736838,0.202286882304979,0.207972887682223
TimeMax,1.05602340894098,1.05965143316227,0.091277199088616,0.093842875314993,1.03325193025218,1.03718493088606,0.09895007860393,0.101731428895208,1.07843956874946,1.0819193014277,0.08754634287795,0.090007149879818,1.06313786831354,1.06894618507046,0.146131021364126,0.150238562910028
K,2.29432721397396,2.29939423262986,0.127480756034227,0.131064064334035,2.27773153610054,2.28377513481154,0.152050463036797,0.156324391927234,2.25802769390674,2.26498281887587,0.174983486264356,0.179902030820933,1.97349228058965,1.9787238817246,0.131621474725719,0.135321172919312
maxViral,2.27702225077694,2.28190477378953,0.122839043482546,0.126291879641859,2.25556560778569,2.26133323940005,0.145107426803853,0.149186196517852,2.23004977369847,2.2366655548134,0.166445958770223,0.171124525199267,1.96941827742165,1.97460060872521,0.130381898599902,0.134046754017549
CumViral,3.26620536156897,3.27040414596907,0.105636913163143,0.108606221155025,3.15306562832332,3.15694666990431,0.09764284454882,0.100387450293038,3.09605414783906,3.10002318370137,0.099856686311012,0.102663520095034,3.45305722691405,3.45701960162531,0.099689098893169,0.102491222025921
I0,0.955327596054278,0.961238800552725,0.14871956661472,0.152899868598899,0.923114724653387,0.929143285909133,0.151672136787064,0.155935431448204,1.00753476783869,1.01352063572325,0.150598017347957,0.154831119992506,0.941328725657707,0.947082867985163,0.144768050809851,0.148837281132542
k,-1.8833615199541,-1.87344140482981,0.249579459218524,0.256594793732537,-1.73514374822567,-1.72608768530686,0.227840832249241,0.234245123929271,-1.87224495022034,-1.8617134236516,0.264961915546357,0.272409629700606,-2.19835356234373,-2.18866059038833,0.243864780654133,0.250719483432286
b,-1.04664191523837,-1.04238509459654,0.107097042772879,0.110107392995073,-0.927125825284613,-0.923188175702119,0.099067041166127,0.101851679113778,-0.880842826211717,-0.876813016592052,0.101385688878456,0.104235500816678,-1.22598014786602,-1.22194471995347,0.101527039102958,0.104380824201118
delta,1.02167363427327,1.02444230039246,0.069656670726803,0.071614623708235,1.04829256742759,1.05047704011776,0.054958990481274,0.056503811934072,1.04350247089281,1.04585092259188,0.059084526511126,0.060745311094022,0.84859989486238,0.853855848038184,0.13223414596098,0.135951065498333
