Type,Method,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
SAT1 ,Needle,7,0.197306872994559,7.76302316583405,2.57613375886688,0.282711576354792,1.38021124170564,4.94069722050669,0.012747523061319,0.011588657328507,7.74812868172783,2.85,35.0399223866525
SAT1 ,Needle,10,0.199807331823394,11,2.99999999999881,0.403655660883505,1.72393017076483,3.71830455845964,0.014134412708049,0.012849466098247,10.7343360107935,2.98,23.9483856544629
SAT1 ,Needle,11,0.251519666281737,10.9999999967909,2.99999999999721,0.411362282243956,2.03342375548693,3.54129237236179,0.013540731925002,0.012309756295477,10.6624124185492,3.06,23.0686378971711
SAT1 ,Needle,13,0.117718017681646,7.01950893797232,2.25434333888409,0.29280327175351,3.13307378743565,4.42469791056342,0.012591509219825,0.011446852557222,6.99422893878056,2.97,31.1592423846398
SAT2 ,Needle,8,0.245685627902089,6.51143039610089,2.90668923932403,0.537852493340477,1.54406804434066,4.67780180581536,0.013095543382839,0.011905039438965,6.46487731903028,2.58,18.2395968820236
SAT2 ,Needle,20,0.100958241470245,6.76011434621989,2.61136505144607,0.289406490171212,1.99999997710336,5.99999999999838,0.016172948213201,0.014702680193839,6.75225545874651,2.37,33.2769299954938
SAT2 ,Needle,28,0.233957836529893,4.23517726475091,2.31020929876456,0.458217742866754,1.30102989433951,5.20742069645221,0.009829221172378,0.008935706030228,4.23050853520541,2.72,21.9892847310565
SAT2 ,Needle,32,0.107208529378394,6.01417165078017,2.04507621721488,0.313615303460079,1.99999958228183,4.80366540309261,0.012327955549582,0.011207233624555,6.00428645001373,2.9,30.9345350005004
SAT3 ,Needle,26,0.305529657395909,8.86635545539295,2.99967743336063,0.504114648241179,1.07918124134065,4.05935747595818,0.014293905473204,0.012994459521133,8.72765315142539,2.78,20.1928031113967
SAT3 ,Needle,27,0.157313114301456,6.77129262890516,2.63699537039347,0.522600377445199,1.8039516760231,4.02649063870324,0.009336293605085,0.008487539644061,6.69314736656786,2.96,18.5114251631176
SAT3 ,Needle,34,0.21680516966161,6.00462049487277,2.9268030613246,0.600557527659978,1.82544448988615,4.11512726634464,0.010072363650446,0.009156694227714,5.93213046592143,2.84,15.9498984295914
SAT3 ,Needle,35,0.126240353308709,5.74806663246436,2.7662530307368,0.539441331746072,2.56348108538758,4.78785161897982,0.011349091348456,0.010317355776065,5.70919271438005,2.55,17.2705952555768
