Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Contact SAT1 Hapto,SAT1,0.09511741,7.374519,1.703256,0.3040725,2.884495,3.353342,0.008761592,0.008380829,7.316276,3.7775,30.91898
Contact SAT1 Hapto,SAT1,0.08882786,6.779337,2.053327,0.3088342,3.051908,3.987927,0.008344671,0.00880774,6.734024,3.465,30.07976
Contact SAT1 Hapto,SAT1,0.09173803,5.890613,1.882453,0.3578188,2.942495,3.459955,0.00817873,0.008122679,5.850301,3.665,26.00108
Contact SAT1 Hapto,SAT1,0.1061909,7.018112,1.749362,0.3131784,2.707841,3.444455,0.008774973,0.008734291,6.968115,3.7075,30.21632
Contact SAT1 Hapto,SAT1,0.1057367,6.69051,1.737908,0.3566117,2.73581,3.405636,0.008035583,0.008098212,6.639171,3.73,27.6504
Contact SAT1 Hapto,SAT1,0.09685626,6.844939,1.674878,0.3228465,2.865048,3.405213,0.008487555,0.007995551,6.795729,3.73,29.03491
Contact SAT1 Hapto,SAT1,0.1237578,7.904272,1.839479,0.2968641,2.59345,3.415445,0.009341724,0.00903332,7.844572,3.7075,31.89582
Contact SAT1 Hapto,SAT1,0.09015043,7.3572,1.722598,0.3085969,2.867149,3.334507,0.00844392,0.008474673,7.294463,3.785,30.61434
Contact SAT1 Hapto,SAT1,0.1212063,6.07515,1.693586,0.3601238,2.466399,3.421761,0.007885311,0.007925282,6.039737,3.725,26.56278
Contact SAT1 Hapto,SAT1,0.1071902,6.161509,1.802931,0.3532943,2.666964,3.25327,0.008144099,0.007811976,6.111575,3.8675,26.71428
Contact SAT1 Hapto,SAT1,0.1154228,6.347052,1.933055,0.3333186,2.59135,4.119013,0.009247156,0.009346712,6.315679,3.3725,29.61006
Contact SAT1 Hapto,SAT1,0.1293278,6.296483,1.860755,0.3578166,2.430877,3.544507,0.008914527,0.008461812,6.258797,3.5925,26.7817
Contact SAT1 Hapto,SAT1,0.1208996,7.259523,1.871909,0.3175359,2.533928,3.396601,0.008441398,0.008882885,7.204012,3.7175,29.65994
Contact SAT1 Hapto,SAT1,0.09228635,6.78932,1.846267,0.3200882,3.006613,4.00694,0.009124979,0.009482525,6.745625,3.42,29.87205
Contact SAT1 Hapto,SAT1,0.09743742,6.740977,1.76524,0.3262787,2.784974,3.407854,0.007641055,0.007628913,6.695687,3.75,28.7204
Contact SAT1 Hapto,SAT1,0.1272046,6.39182,1.875536,0.3329549,2.42035,3.660201,0.008318833,0.008630129,6.359881,3.5275,28.45904
Contact SAT1 Hapto,SAT1,0.130062,6.554041,1.78455,0.3493556,2.428358,3.393381,0.008157109,0.008208663,6.511583,3.7275,27.75684
Contact SAT1 Hapto,SAT1,0.1058583,6.70497,1.84089,0.3149732,2.593151,3.45763,0.008366966,0.008282562,6.656777,3.715,29.77129
Contact SAT1 Hapto,SAT1,0.115969,6.866588,1.671288,0.3198748,2.650093,3.424297,0.00888983,0.008403876,6.824438,3.7775,30.13025
Contact SAT1 Hapto,SAT1,0.1250637,7.578172,2.016402,0.3072276,2.529108,3.420658,0.00938064,0.00887486,7.518589,3.7125,30.90578
Contact SAT1 Hapto,SAT1,0.1214039,6.114181,1.767776,0.3504139,2.382393,3.491212,0.008898138,0.008764154,6.082094,3.6625,27.38039
Contact SAT1 Hapto,SAT1,0.1285273,6.574651,1.757488,0.3407478,2.404105,3.409787,0.007092115,0.007730265,6.52893,3.79,28.34773
Contact SAT1 Hapto,SAT1,0.08964833,7.023657,1.822741,0.3180185,3.153608,3.465521,0.008942677,0.0085526,6.967604,3.6925,29.82251
Contact SAT1 Hapto,SAT1,0.1214615,6.581019,1.753175,0.3322191,2.609443,3.432311,0.009481025,0.009594204,6.541167,3.665,28.54929
Contact SAT1 Hapto,SAT1,0.08995487,6.567788,1.879321,0.3299418,3.023685,3.390255,0.00878789,0.008417771,6.518567,3.715,27.95953
Contact SAT1 Hapto,SAT1,0.1279037,7.185517,1.999555,0.3195348,2.341488,3.682232,0.008814552,0.009249805,7.131976,3.5625,30.14232
Contact SAT1 Hapto,SAT1,0.1268201,6.688652,1.823361,0.3152168,2.553872,3.372005,0.008695808,0.008636274,6.645272,3.7675,29.75797
Contact SAT1 Hapto,SAT1,0.1206563,7.992647,1.826203,0.2991081,2.61242,3.386875,0.009210946,0.008886846,7.933319,3.7425,32.83265
Contact SAT1 Hapto,SAT1,0.09952894,7.165141,1.920688,0.32186,2.919249,3.369803,0.009329785,0.008481622,7.103776,3.7,28.88889
Contact SAT1 Hapto,SAT1,0.1080228,6.961903,1.878957,0.3180353,2.727388,3.451142,0.008104039,0.008529257,6.914171,3.705,29.82971
Contact SAT1 Hapto,SAT1,0.09423277,7.030492,1.841687,0.3201393,2.863073,3.366972,0.008416257,0.008842574,6.974653,3.7425,29.75914
Contact SAT1 Hapto,SAT1,0.1033768,6.639422,1.835422,0.3232221,2.637308,3.443033,0.00791246,0.008791623,6.598256,3.6925,29.07247
Contact SAT1 Hapto,SAT1,0.1073984,6.031693,1.782033,0.3714562,2.598892,3.499807,0.009167166,0.008333787,5.993929,3.63,25.59749
Contact SAT1 Hapto,SAT1,0.1330627,7.497153,1.764071,0.3099592,2.479846,3.471525,0.009293447,0.009035718,7.448804,3.6625,31.23919
Contact SAT1 Hapto,SAT1,0.1134919,6.697543,1.908722,0.3056987,2.694474,3.807505,0.009176704,0.009754946,6.662197,3.51,30.79478
Contact SAT1 Hapto,SAT1,0.1078485,7.043006,1.76714,0.3203826,2.831219,3.42461,0.007306682,0.008118535,6.990263,3.7375,29.47158
Contact SAT1 Hapto,SAT1,0.1026774,5.990862,1.878608,0.3441199,2.728498,3.487644,0.008497104,0.007962896,5.956511,3.7,27.30431
